object_name,feature_extraction_model_name,feature_extraction_initialization,augmented,feature_extraction_layer,feature_extraction_shape,model_name,hyperparameter,auroc,train_time,test_inference_time
cable,resnet18,imagenet1k_v1,True,layer4,"[1344, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9370314842578711,0.7058134078979492,0.24501824378967285
cable,resnet18,imagenet1k_v1,True,layer4,"[1344, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.9370314842578711,0.722247838973999,0.22833776473999023
cable,resnet18,imagenet1k_v1,False,layer4,"[224, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 6},0.936656671664168,0.1541764736175537,0.18515229225158691
cable,resnet18,imagenet1k_v1,False,layer4,"[224, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 4},0.9364692653673163,0.1456468105316162,0.18919801712036133
cable,resnet18,imagenet1k_v1,False,layer4,"[224, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9364692653673163,0.16217279434204102,0.19248318672180176
cable,resnet18,imagenet1k_v1,False,layer4,"[224, 25088]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9362818590704648,0.18611764907836914,0.16923952102661133
capsule,resnet18,imagenet1k_v1,True,layer3,"[1314, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9174311926605504,1.335235834121704,0.41758275032043457
capsule,resnet18,imagenet1k_v1,False,layer3,"[219, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 12},0.9174311926605504,0.2997007369995117,0.2978396415710449
capsule,resnet18,imagenet1k_v1,True,layer3,"[1314, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9130434782608696,1.363487958908081,0.395580530166626
capsule,resnet18,imagenet1k_v1,False,layer3,"[219, 50176]",sklearn.neighbors.LocalOutlierFactor,{'n_neighbors': 8},0.9130434782608696,0.28864479064941406,0.29792022705078125
